,0,0,0
0,2019-01-24,9.1,26.562426
1,2019-01-25,9.415,26.562426
2,2019-01-26,3.257,26.562426
3,2019-01-27,9.112,26.562426
4,2019-01-28,3.273,26.562426
5,2019-01-29,9.145,26.562426
6,2019-01-30,3.305,26.562426
7,2019-01-31,3.252,26.562426
8,2019-02-01,9.16,26.562426
9,2019-02-02,3.3,26.562426
10,2019-02-03,9.142,26.562426
11,2019-02-04,14.983,26.562426
12,2019-02-05,14.981000000000002,26.562426
13,2019-02-06,9.156,26.562426
14,2019-02-07,9.124,26.562426
15,2019-02-08,14.964,26.562426
16,2019-02-09,9.155,26.562426
17,2019-02-10,3.271,26.562426
18,2019-02-11,3.317,26.562426
19,2019-02-12,9.158,26.562426
20,2019-02-13,9.167,26.562426
21,2019-02-14,3.283,26.562426
22,2019-02-15,3.328,26.562426
23,2019-02-16,9.178,26.562426
24,2019-02-17,9.158,26.562426
25,2019-02-18,3.289,26.562426
26,2019-02-19,9.123,26.562426
27,2019-02-20,9.132,26.562426
28,2019-02-21,9.179,26.562426
29,2019-02-22,9.147,26.562426
30,2019-02-23,3.339,26.562426
31,2019-02-24,9.172,26.562426
32,2019-02-25,9.178,26.562426
33,2019-02-26,3.359,26.562426
34,2019-02-27,15.001,26.562426
35,2019-02-28,3.371,26.562426
36,2019-03-01,9.194,26.562426
37,2019-03-02,11.16,26.562426
38,2019-03-03,5.594,26.562426
39,2019-03-04,11.36,26.562426
40,2019-03-05,5.577,26.562426
41,2019-03-06,11.363,26.562426
42,2019-03-07,11.406,26.562426
43,2019-03-08,11.378,26.562426
44,2019-03-09,11.411,26.562426
45,2019-03-10,11.349,26.562426
46,2019-03-11,11.402,26.562426
47,2019-03-12,11.399,26.562426
48,2019-03-13,5.553,26.562426
49,2019-03-14,11.41,26.562426
50,2019-03-15,5.606,26.562426
51,2019-03-16,11.358,26.562426
52,2019-03-17,11.381,26.562426
53,2019-03-18,5.571,26.562426
54,2019-03-19,11.446,26.562426
55,2019-03-20,5.564,26.562426
56,2019-03-21,22.992,26.562426
57,2019-03-22,46.266,26.562426
58,2019-03-23,63.829,26.562426
59,2019-03-24,34.693,26.562426
60,2019-03-25,23.082,26.562426
61,2019-03-26,28.888,26.562426
62,2019-03-27,23.049,26.562426
63,2019-03-28,17.239,26.562426
64,2019-03-29,17.194,26.562426
65,2019-03-30,23.085,26.562426
66,2019-03-31,23.068,26.562426
67,2019-04-01,23.108,26.562426
68,2019-04-02,17.845,26.562426
69,2019-04-03,11.912,26.562426
70,2019-04-04,17.868,26.562426
71,2019-04-05,11.958,26.562426
72,2019-04-06,17.863,26.562426
73,2019-04-07,23.67,26.562426
74,2019-04-08,11.974,26.562426
75,2019-04-09,18.098,26.562426
76,2019-04-10,30.079999999999995,26.562426
77,2019-04-11,24.209,26.562426
78,2019-04-12,23.774,26.562426
79,2019-04-13,29.607,26.562426
80,2019-04-14,23.689,26.562426
81,2019-04-15,35.481,26.562426
82,2019-04-16,28.996999999999996,26.562426
83,2019-04-17,23.111,26.562426
84,2019-04-18,34.859,26.562426
85,2019-04-19,23.212,26.562426
86,2019-04-20,23.302,26.562426
87,2019-04-21,29.509,26.562426
88,2019-04-22,17.823,26.562426
89,2019-04-23,23.633,26.562426
90,2019-04-24,17.895,26.562426
91,2019-04-25,41.062,26.562426
92,2019-04-26,29.278999999999996,26.562426
93,2019-04-27,34.903,26.562426
94,2019-04-28,52.935,26.562426
95,2019-04-29,47.076,26.562426
96,2019-04-30,41.227,26.562426
97,2019-05-01,35.373,26.562426
98,2019-05-02,27.485,26.562426
99,2019-05-03,21.869,26.562426
100,2019-05-04,22.366,26.562426
101,2019-05-05,28.597,26.562426
102,2019-05-06,11.505,26.562426
103,2019-05-07,17.54,26.562426
104,2019-05-08,6.392,26.562426
105,2019-05-09,12.313,26.562426
106,2019-05-10,12.558,26.562426
107,2019-05-11,12.891,26.562426
108,2019-05-12,12.537,26.562426
109,2019-05-13,7.72,26.562426
110,2019-05-14,8.081,26.562426
111,2019-05-15,13.98,26.562426
112,2019-05-16,6.592,26.562426
113,2019-05-17,1.1,26.562426
114,2019-05-18,12.551,26.562426
115,2019-05-19,7.882999999999999,26.562426
116,2019-05-20,8.233,26.562426
117,2019-05-21,8.472,26.562426
118,2019-05-22,14.162,26.562426
119,2019-05-23,3.41,26.562426
120,2019-05-24,9.021,26.562426
121,2019-05-25,3.794,26.562426
122,2019-05-26,9.406,26.562426
123,2019-05-27,4.255,26.562426
124,2019-05-28,4.467,26.562426
125,2019-05-29,4.723,26.562426
126,2019-05-30,4.91,26.562426
127,2019-05-31,5.094,26.562426
128,2019-06-01,0.0,26.562426
129,2019-06-02,5.463,26.562426
130,2019-06-03,5.683,26.562426
131,2019-06-04,0.69,26.562426
132,2019-06-05,6.187,26.562426
133,2019-06-06,1.226,26.562426
134,2019-06-07,1.493,26.562426
135,2019-06-08,43.203,26.562426
136,2019-06-09,53.705,26.562426
